EPOCH,E-Avergae
1,1.5
2,1.51
3,1.510067
4,1.510067
5,1.510067
6,1.510067
7,1.510067
8,1.510067
9,1.510067
10,1.510067
11,1.510067
12,1.510067
13,1.510067
14,1.510067
15,1.510067
16,1.510067
17,1.510067
18,1.510067
19,1.510067
20,1.510067
21,1.510067
22,1.510067
23,1.510067
24,1.510067
25,1.510067
26,1.510067
27,1.510067
28,1.510067
29,1.510067
30,1.510067
31,1.510067
32,1.510067
33,1.510067
34,1.510067
35,1.510067
36,1.510067
37,1.510067
38,1.510067
39,1.510067
40,1.510067
41,1.510067
42,1.510067
43,1.510067
44,1.510067
45,1.510067
46,1.510067
47,1.510067
48,1.510067
49,1.510067
50,1.510067
51,1.510067
52,1.510067
53,1.510067
54,1.510067
55,1.510067
56,1.510067
57,1.510067
58,1.510067
59,1.510067
60,1.510067
61,1.510067
62,1.510067
63,1.510067
64,1.510067
65,1.510067
66,1.510067
67,1.510067
68,1.510067
69,1.510067
70,1.510067
71,1.510067
72,1.510067
73,1.510067
74,1.510067
75,1.510067
76,1.510067
77,1.510067
78,1.510067
79,1.510067
80,1.510067
81,1.510067
82,1.510067
83,1.510067
84,1.510067
85,1.510067
86,1.510067
87,1.510067
88,1.510067
89,1.510067
90,1.510067
91,1.510067
92,1.510067
93,1.510067
94,1.510067
95,1.510067
96,1.510067
97,1.510067
98,1.510067
99,1.510067
100,1.510067
101,1.510067
102,1.510067
103,1.510067
104,1.510067
105,1.510067
106,1.510067
107,1.510067
108,1.510067
109,1.510067
110,1.510067
111,1.510067
112,1.510067
113,1.510067
114,1.510067
115,1.510067
116,1.510067
117,1.510067
118,1.510067
119,1.510067
120,1.510067
121,1.510067
122,1.510067
123,1.510067
124,1.510067
125,1.510067
126,1.510067
127,1.510067
128,1.510067
129,1.510067
130,1.510067
131,1.510067
132,1.510067
133,1.510067
134,1.510067
135,1.510067
136,1.510067
137,1.510067
138,1.510067
139,1.510067
140,1.510067
141,1.510067
142,1.510067
143,1.510067
144,1.510067
145,1.510067
146,1.510067
147,1.510067
148,1.510067
149,1.510067
150,1.510067
